headline,contents,url,category,name
‘쥴리 남자들’ 벽화에… 野 “사유지면 형수욕설 틀어도 되나?”,"서울 종로구 옛 우미관 터 건물 외벽에 윤석열 전 검찰총장 아내 김건희씨를 비방하는 내용의 벽화가 등장해 논란이 되고 있다. 국민의힘은 심각한 명예훼손이라며 반발하고 나섰다.국민의힘 소속 김근식 경남대 교수는 29일 페이스북을 통해 “부동산 정책에 실패한 (홍남기)부총리가 얼토당토않은 ‘공유지의 비극’으로 국민들 열불 나게 하더니, 윤석열을 비난하는 친문 인사는 종로 한복판에 억지스러운 ‘사유지의 횡포’를 자행하고 있다”고 했다.김근식 교수는 “본인 건물이니 무슨 그림이든 자유라겠지만, 야권 제1주자와 관련된 확인되지 않은 잡스런 풍문을 기정사실화해서 벽화를 그려 불특정 대중에게 특정후보를 정치적으로 비방하는 행위는 사유지의 권리를 넘어 정치적 ‘횡포’이자 ‘만행’”이라며 “바로 옆 건물에 스피커를 달아서 이재명 지사의 형수욕설을 계속 틀고 벽에 여배우 스캔들을 풍자하는 벽화를 그리면 뭐라 할까? 야당 지지자들은 그따위 추잡하고 더러운 짓은 하지 않는다”고 했다.이어 “아무리 자유라지만 정치적으로 편향된 주장을 공개적인 장소에서 일방적으로 확산하는 건, 민주시민의 덕목을 스스로 포기하는 것”이라며 “확인되지도 않은 헛소리를 시내 한복판에서 무책임하게 떠벌이는 쥴리 벽화 사장님을 보니, 그 옛날 미국산 소고기가 광우병이라며 한미 FTA 반대를 외쳤던 광화문의 집단시위가 떠오른다”고 했다.김 교수는 “쥴리 벽화를 내거는 사람이나 이에 열광하며 성지순례 운운하는 자들이나, 최소한의 정치적 예의와 품격마저 갖추지 못한 수준 이하의 대깨문들”이라며 “광우병 파동이나 쥴리 벽화나 모두 근거 없는 정치적 선동의 최고봉들이다. 한심함의 극치”라고 했다.김미애 국민의힘 의원도 페이스북을 통해 “표현의 자유로 보호받을 수 없는 범죄행위다. 심각한 명예훼손”이라며 “유력 대권 주자 배우자라는 이유로 이렇게 허위사실에 의한 명예훼손을 해도 되나? 정치가 희화화되는 만큼 후진적 정치로 질낮은 정치인이 득세하게 되고 국가경쟁력은 떨어지고 결국 국민이 불행해진다”고 했다.이어 “이런 저질 불법행위에 대해서는 여야를 막론한 모든 정치인이 철퇴를 가해야 한다”고 했다.한편 서울 종로구 관철동 종로12길의 한 건물 옆면에는 가로 약 15m 세로 2.5m 길이의 벽화가 그려져 있었다. 연결된 철판 6장 위에 각각 그려진 총 6점이다.건물 입구 바로 옆의 첫 벽화에는 ‘쥴리의 남자들’이란 문구와 함께 ’2000 아무개 의사, 2005 조 회장, 2006 아무개 평검사, 2006 양검사, 2007 BM 대표, 2008 김 아나운서, 2009 윤서방 검사'라고 적혔다. 두 번째 벽화에는 한 여성의 얼굴 그림과 함께 ‘쥴리의 꿈! 영부인의 꿈!’이란 글이 적혔다.쥴리는 친문 성향 유튜브 채널 ‘열린공감TV’가 김건희씨 관련 음모론과 함께 퍼뜨린 김씨의 멸칭이다. 벽화에 나열된 이름들도 윤 전 총장을 비방할 목적으로 만들어진 시중 문건들에서 ‘김씨 연관 남성’으로 등장하는 이름들이다.이 벽화는 지난달 이 건물에 새로 입주한 ‘홍길동 중고서점’ 대표의 의뢰로 제작됐다고 한다. 서점 관계자는 “2주 전쯤 대표가 의뢰해 벽화가 들어서게 됐다”며 “우미관 인근 골목이 어둡고 우중충해 대표가 조명 설치와 함께 벽화를 그린 것 같다”고 했다.",https://www.chosun.com/politics/politics_general/2021/07/29/VHTOVLU5LNFCRMAWN3SBK3SRZM/?outputType=amp,정치,조선
"김두관 “윤석열, 대통령직 잘 수행할 분 아니다”","더불어민주당 대선주자인 김두관 의원은 범야권 유력 대권주자 윤석열 전 검찰총장을 두고 “대통령직을 잘 수행할 수 있는 분 같지 않다”고 평했다.김 의원은 29일 YTN라디오 ‘황보선의 출발 새아침’에 출연해 “(윤 전 총장의) 품성이라든지 현장을 방문하면서 한 마디 한 마디 던지는 주요 발언들을 보면 그런 느낌이 든다”며 이 같이 말했다.그는 전날 대선 본경선 TV토론회에서 ‘대선에서 나의 야권 대선 후보는 누구라 예상하는가’라는 질문에 국민의힘 홍준표 의원을 꼽은 것과 관련, “대선에서 같이 한 번 했으면 좋겠다”고 말했다. 이어 “홍준표 후보는 지난 2017년 대선에서 24% 정도 입용을 했다”며 “대구·경북, TK·PK 다 고른 지지가 있는 사람이라서 유력주자가 될 가능성이 높다”고 평가했다.진행자가 ‘왜 윤 전 총장은 꼽지 않았나’라고 묻자 김 의원은 “추미애 후보의 말씀대로 하면 제가 매고 꿩을 잡았다고 하는데, 그런 것 같지는 않다”면서도 “그러나 장기적으로 봤을 때, 범야권의 대선주자가 되기 쉽지 않을 거라고 판단한다”고 답했다.김 의원은 “사법기관은 권력기관의 장으로서 엄정하게 정치적 중립을 지킨다고 했지만 그러지 않았다”며 “오히려 문재인 정부를 강하게 비판하면서 본인이 정의의 사도처럼 치환이 되어서 오래 갈 것 같지는 않다”고 했다.이어 윤 전 총장의 아내 김건희씨를 둘러싼 각종 의혹과 관련해서는 “개인 프라이버시라서 제가 뭐라고 말씀 드릴 순 없지만, 공인이 되고 국가를 경영할 대통령 후보기 때문에 주위 가까운 친인척, 여러 가지 현안들에 대해서 국민들이 알고 싶어 한다”고 말했다.그러면서 “우리가 장관 청문회도 머리부터 발끝까지 다 발가벗긴 거 아닌가”라며 “그럴 정도로 엄중하게 하기 때문에 20대 대한민국 대통령 후보인 사람은 그가 누구라도 가족이든 가까운 친척이든 본인이든 이렇게 검증하는 건 당연하다고 생각한다”고 덧붙였다.",https://www.chosun.com/politics/politics_general/2021/07/29/YTKLOL7WDVCVBOGWNLXPSHM7GU/?outputType=amp,정치,조선
이재명 “나는 유능·깨끗…윤석열 부패는 문제”,"더불어민주당 대선 후보 경선에 출마한 이재명 경기도지사는 29일 “나는 나라의 대통령이 되는 걸 넘어 새로운 나라를 만들 수 있는, 유능하고 깨끗하며 약속을 잘 지키는 후보”라고 했다.이 지사는 이날 광주MBC 라디오 ’황동현의 시선집중’ 인터뷰에서 ‘대통령 적임자인 이유가 무엇이냐'는 진행자 질문에 “나는 가능성이 큰 후보”라며 이같이 답했다. 이 지사는 “국가 경영을 유능하게, 투명하게 할 사람이 나다. 국민이 그 점을 인정하니까 내가 아무것도 가지지 않는 변방장수인데 지지하지 않는가”라며 “전국으로 고루 지지 받는 핵심적 동력”이라고 했다.이 지사는 민주당 이낙연 전 대표와의 ‘백제 발언’ 논란에 대해선 “이런 건 네거티브에 속한다. 안 했으면 좋겠다”고 했다. 그는 “우리가 반드시 (지역주의를) 깨자, (이낙연) 후보가 이기는 게 깨는 길이라고 한 이 선의의 발언을 갖고 내가 (지역주의를) 조장했다는 이런 식의 (공격은) 황당할 정도로 답답하다”며 “이러지 않았으면 좋겠다”고 했다.이 지사는 야권 대선 주자인 윤석열 전 검찰총장에 대해선 “청렴성, 공직 비리 문제는 국민들이 절대로 용인할 수 없는 문제고 친인척과 측근, 가족 등등의 부정부패, 본인의 부정부패는 국민이 결코 받아들일 수 없다”며 “윤 전 총장도 의심받는 것이 많은데 심각한 문제가 될 수 있다”고 했다.",https://www.chosun.com/politics/politics_general/2021/07/29/WLXSJVTG3VEOZNUKHH24RVX6E4/?outputType=amp,정치,조선
"최재형 “尹가족 비방 벽화… 더러운 폭력, 당장 중단해야”","국민의힘 대선 주자인 최재형 전 감사원장은 29일 서울 종로의 한 골목에 윤석열 전 검찰총장 측을 비방하는 이른바 ‘쥴리 벽화’가 그려진 데 대해 “인간에 대한 이런 더러운 폭력을 당장 중단해야 한다”고 했다.최 전 원장은 이날 자신의 페이스북에서 “표현의 자유라는 이름으로 민주주의를 퇴행시키는 행위를 용인해선 안 된다”며 “종로 어느 거리에, 윤석열 후보의 가족들을 비방하는 벽화가 걸렸다는 뉴스를 접했다. 정말 분노를 금할 수가 없다”고 했다.그는 “이것은 저질 비방이자 정치폭력이며, 표현의 자유를 내세운 인격 살인”이라며 “표현의 자유라는 미명 하에 이와 같은 인신공격을 일삼는 것은 민주주의의 가치를 훼손하는 것이다. 우리나라 정치의 품격을 땅에 떨어뜨리는 일”이라고 했다.최 전 원장은 “대통령 선거에서 후보자 본인과 주변인들에 대한 검증은 꼭 필요하다”면서도 “하지만 넘지 말아야 할 선이 있다. 그 선을 넘는다면 민주주의를 지키고자 하는 모든 사람들이 힘을 모아 막아야 한다”고 했다.그러면서 최 전 원장은 영국 자유주의 철학자 존 스튜어트 밀(1806~1873)의 ‘사회 속에서 사는 한, 다른 사람들과 공존하기 위해 일정한 행동 규칙을 준수하는 것이 불가피하다’는 발언을 인용했다. 그는 “자유를 생명처럼 여겼던 위대한 정치사상가의 말”이라며 “표현의 자유라는 이름으로 민주주의를 퇴행시키는 일을 결코 용인해서는 안 된다”고 했다.",https://www.chosun.com/politics/politics_general/2021/07/29/V4LMNKWBLVGINMEIWKXAKLEPEU/?outputType=amp,정치,조선
이준석 “윤석열 8월 내 입당 안 하면 캠프 합류 인사들 싹 징계”,"이준석 국민의힘 대표가 윤석열 전 검찰총장의 입당이 8월 내에 이루어지지 않는다면 `국민 캠프`에 합류한 당내 인사에 대한 징계 의사를 확실히 밝혔다.이 대표는 29일 CBS 라디오 `김현정의 뉴스쇼`와의 인터뷰에서 “8월 말 경선을 확정했다”며 “제1 야당의 경선은 공공재적 성격이 강하다. 연예인이라고 해서 버스 가는 것 세워라, 하는 일은 발생하지 않을 것”이라고 말했다. 지지율이 높은 당 밖의 인사인 윤 전 총장을 연예인에 비유한 것이다. 이어 “윤 전 총장은 어떤 특혜도 바라지 않는 담백한 분”이라며 “입당하겠다는 의지는 계속 확인하고 있고, 8월일 거라고 본다”고 예상했다. 일부 국민의힘 당협위원장이 윤 전 총장 캠프인 `국민 캠프`에 합류했는데, 8월 입당이 아니라면 그분들을 데려간 게 `무리수`가 된다는 게 이 대표의 설명이다.이 대표는 `경선 내 윤 전 총장이 입당하지 않는다면 캠프에 합류한 분들에 대한 징계 문제`에 관해 묻자 “싹 징계해야 해요”라고 잘라 말했다. 그는 `8월 내 입당한다면 징계는 없던 일이 되는 것 아니냐`는 물음에 “그러면 그분들의 기사회생”이라며 “윤리위원회를 열면 그분들이 잘못된 행동을 했다는 판단이 나오는 건 여지가 없다”고 답했다. 그러면서 “국회의원 선거에서 당의 공천을 못 받아서 무소속으로 출마하는 경우 당의 인사가 그를 돕는 행보를 하면 칼같이 제명”이라며 “이론의 여지가 없다”고 덧붙였다.다만 이 대표는 “이번에는 약간 특수한 상황인 게 윤 전 총장이 입당에 대한 의지를 계속 밝히고 있고, 신뢰하기 때문에 징계를 안 하는 것이지 원래는 칼 같이 징계해야 한다”고 했다.`국민 캠프`에는 국민의힘 인천시당위원장을 맡은 이학재 전 의원과 경기 광주갑 당협위원장인 함경우 전 조직부총장, 서울 광진갑 당협위원장인 김병민 전 비대위원이 합류했다. 이 대표는 지난 25일에도 “만약 대선주자가 들어오지 않는 상황이 발생하고 경선이 시작된다면 명백히 당 외부 대선주자를 돕는 걸로 볼 수 있다”며 “거기에 대해서는 당의 윤리규정이 복잡하지 않다”고 말했다. 이에 대해 윤 전 총장은 27일 “공당이기 때문에 그런 말이 나올 법도 하지만 바람직하지는 않다”며 “오래 기다리시지 않게 (입당 시기를) 결론 내서 알려드리겠다”고 말했다.",https://www.chosun.com/politics/politics_general/2021/07/29/OAPTZJCQZJH7VG56RQT3L7RHZM/?outputType=amp,정치,조선
"김정은, 조·중우의탑 헌화... “中과 친선, 대 이어 계승”","김정은 북한 국무위원장이 북한에서 6·25 정전을 기념하는 ‘전승절(정전협정 체결일·7월 27일)’ 68주년을 맞아 조·중우의탑에 헌화하고 양국의 혈맹관계를 계승할 것이라고 밝혔다.노동신문과 조선중앙통신은 29일 “김정은 동지께서 조국해방전쟁 승리 68돌에 즈음하여 7월 28일 우의탑을 찾으셨다”며 “총비서 동지께서는 (…) 혈연적 유대로 맺어진 조·중친선은 공동의 위업을 위한 한길에서 대를 이어 굳건히 계승될 것이라고 말씀하셨다”고 보도했다.보도에 따르면 김정은은 행사에서 “우리 공화국이 가장 혹독하고 힘든 고비를 겪을 때 우리 인민의 성스러운 역사적 투쟁을 피로써 지원한 중국 인민의 고귀한 넋과 공적은 번영하는 사회주의조선과 더불어 불멸할 것”이라고 말했다.이어 “항미원조 보가위국의 기치를 높이 들고 가열 처절한 전화의 나날들에 우리 군대와 어깨 겯고 싸운 지원군 장병들의 참다운 전투적 우의와 무비의 희생정신은 전승의 역사와 우리 인민의 기억 속에 역력히 새겨져 있다”고 했다.김정은이 우의탑에 보낸 화환에도 ‘전체 조선 인민의 이름으로 숭고한 경의를 표합니다. 조선인민을 대표하여 김정은’이라는 문구가 적혔다.이날 참배에는 조용원·리일환·정상학 당 비서, 박정천 군 총참모장, 권영진 군 총정치국장, 리영길 국방상 등과 함께 최근 실각한 리병철 당 중앙군사위원회 부위원장이 동행했다.조·중 우의탑은 중공군의 6·25 참전을 기리는 기념물로 북·중이 미국에 맞선 ‘항미원조(抗美援朝)’ 정신을 상징한다. 김정은이 집권 이후 우의탑을 직접 참배해 헌화한 것은 지난해 10월 중국인민지원군 참전 70주년과 앞서 2019년 6월 시진핑 중국 국가주석의 방북에 이어 세 번째다.김정은은 이달 초에도 시 주석과 친서를 교환하고, 허난(河南)성 등의 홍수 피해에 시 주석에게 위로의 뜻을 담은 구두 친서를 보내는 등 중국과 밀착 행보를 이어오고 있다.",https://www.chosun.com/politics/north_korea/2021/07/29/2ZSJ4PDWVJGT3DXT4HURN5DR7I/?outputType=amp,정치,조선
정청래 “이준석은 노무현 정신 언급말라… 치 떨린다”,"김철근 “盧가 무슨 금기어냐”국민의힘 이준석 대표는 지난 28일 언론 자유 침해 논란이 일고 있는 언론중재법 개정안을 더불어민주당이 강행 처리하고 있는 데 대해 “노무현 정부의 계승자를 자처하는 사람들이 경직된 언론 환경을 구축하겠다는 것인가”라고 했다. 이에 대해 더불어민주당 정청래(3선·서울 마포을) 의원은 “이 대표는 함부로 ‘노무현 정신'을 입에 올리지 말라”고 했다.정 의원은 이날 자신의 페이스북에서 “귀당측 전직 대통령도 많이 있지 않은가?”라며 “전두환, 이명박, 박근혜 등등, 전두환 정신, 이명박 정신, 박근혜 정신을 팔아먹어야지, 왜 남의 당 훌륭한 정신을 운운하는가?”라고 했다.이어 “이준석 대표에게 경고한다. 노무현 정신과 정 반대의 철학을 가진 정당에서 감히 노무현 정신을 입에 올리지 말라”며 “노무현 대통령이 왜, 어떻게, 어떤 자들에 의해 죽음으로 내몰렸는지 모르는가? 치 떨린다. 양심 좀 갖고 살자”고 했다.이에 대해 국민의힘 김철근 당대표 정무실장은 “정청래 의원님은 노무현 정신이 뭔지 모르는 모양”이라며 “‘특권과 반칙이 없는 세상’이 노무현 정신의 핵심”이라고 했다.김 실장은 “민주당이 권력으로, 국회의원 숫자 힘의 논리로 언론중재법을 강행 처리하려 한다”며 “이런게 반칙이고 특권 아닌가? ‘징벌적 손해배상’을 포함한 악법 중에 악법을 만들려 하는 것이 노무현 정신인가? 되묻고 싶다”고 했다.이어 “제1야당 대표에게 노무현 정신은 말 하면 안 되는 금기어인가?”라며 “뭔가를 독점적 소유하려는 생각을 버리고 보편 타당한 생각에 입각한 비판이라도 하면 좋겠다”고 했다.",https://www.chosun.com/politics/politics_general/2021/07/29/NUKK47VSFFG5TNMTGJCUWSIIR4/?outputType=amp,정치,조선
이준석 “내 휴가가 불쾌? 尹캠프에 감정조절 안되는 분 있나 보다”,이준석 국민의힘 대표가 윤석열 전 검찰총장 캠프에서 입당 시기를 두고 불만이 나왔다는 보도에 대해 29일 “캠프에 감정조절이 안되는 분이 있나보다”고 말했다.이 대표는 이날 자신의 페이스북을 통해 “이미 몇 주전에 정한 일정으로 당대표 휴가 가는데 불쾌하다는 메시지를 들으면 당대표가 불쾌해야 한다”며 이같이 말했다.이어 “윤 총장과 저는 만날 때마다 이견 없이 대화가 잘 되는데 캠프에서 익명 인터뷰로 장난치는 거 벌써부터 재미 붙이면 안된다”고 지적했다.앞서 이 대표는 윤 전 총장이 8월10일 전후로 입당할 것이라는 관측에 대해 사실이 아니라고 일축했다.그는 지난 26일 CBS 라디오를 통해 “제가 휴가를 8월9일부터 13일까지 가는데 윤 전 총장이 대표 휴가 때 몰래 입당이라도 하려는 거냐”며 “그럴 가능성도 없고 들은 바도 없다. 오보에 가깝다”고 말했다.그러자 윤 전 총장 측이 이 대표의 휴가 발언에 대해 불쾌감을 드러냈다는 보도가 나왔다. 윤 전 총장 측은 윤 전 총장이 자신의 정치적 행보를 정하는데 이 대표가 자신의 휴가를 앞세워 다른 날짜를 고려하라고 무언의 압박을 가하는 게 비논리적인 데다 공당의 대표로서 바람직한 자세도 아니라고 했다.,https://www.chosun.com/politics/politics_general/2021/07/29/CCMJEHMWSRHNJIEI66HAEULQLI/?outputType=amp,정치,조선
"이재명, 윤석열‧최재형 겨냥 “남북 통신선 복원, 잘한 것은 잘했다 하자”","“야권후보들은 싸늘하다 못해 저주에 가까운 반응”이재명 경기지사가 남북 통신선이 복원된 것을 평가절하한 야권 대선주자들을 비판하고 나섰다.이재명 지사는 28일 페이스북을 통해 “잘한 것은 잘했다 칭찬하는 정치를 하면 좋겠다”라며 “최소한의 금도를 지키길 바란다”고 했다.이 지사는 “어제 13개월 만에 남북 간 통신연락선이 복원됐다. 미국 바이든 정부도 환영 입장을 밝혔다. 어려운 상황임에도 인내심을 갖고 북한을 설득해 온 문재인 대통령의 큰 성과다. 진심으로 감사의 말씀을 드린다”고 했다.이어 “여기서 머물러서는 안 된다. 남북 간 신뢰를 기반으로 더 속도를 내야 한다. 유선통화가 화상대화로 이어지고, 남북정상회담, 북미정상회담이 개최돼 기존의 남북, 북미정상 합의사항들이 빠짐없이 실현되기를 바란다”며 “임기 말이지만 그동안 남북관계에서 쌓아온 문 대통령의 성과를 본다면 충분히 가능한 일이라 생각한다. 이번 정부가 닦아놓은 토대위에서 차기 정부가 한반도 비핵화 실현, 한반도 평화체제 구축의 새 시대를 열어 가면 좋겠다”고 했다.이 지사는 “윤석열, 최재형 후보의 목불인견 행태, 참으로 개탄스럽다”며 야권 대선주자들의 발언을 나열했다.이 지사는 “‘북 심기 살피면 핫라인 복원 의미 있나'(윤석열) ‘우리 정부가 진정으로 대한민국의 자유와 평화를 지킬 의지가 있는지 묻고 싶다’(최재형) ‘위기가 찾아올 때면 쓰는 북한 치트키’(원희룡)”라며 “온 국민이 환영하는 일인데 야권후보들은 싸늘하다 못해 저주에 가까운 반응을 내놓고 있다. 특히 윤석열, 최재형 두 후보의 발언은 언급하기조차 민망스러운 지경”이라고 했다.이재명 지사는 “불과 한 달, 불과 4개월 전 그들은 문재인 정부 최고위직 공직자였다. 본인이 몸담은 정부의 대북정책에 대해 이런 인식을 가지고 어떻게 그 자리에 있었는지 의문”이라며 “핫라인 복원이 의미가 없다면 핫라인 없던 대결 시대로 돌아가자는 것인가? ‘대한민국의 자유와 평화를 지킬 의지가 없는 정부’지만 본인의 입신양명을 위해 감사원장을 했다는 얘기인가? 일말의 양심조차 없는 망언”이라고 했다.그러면서 “잘한 것은 잘했다 칭찬하는 정치를 하면 좋겠다”며 “아무리 정치적 욕심을 내야할 시기라지만 최소한의 금도를 지키길 바란다. 국민이 지켜보고 계시다”라고 했다.",https://www.chosun.com/politics/politics_general/2021/07/29/WQICAVPMXBEVFFWHZKSHURQ76M/?outputType=amp,정치,조선
‘쥴리 남자들’ 벽화에… 野 “사유지면 형수욕설 틀어도 되나?”,"서울 종로구 옛 우미관 터 건물 외벽에 윤석열 전 검찰총장 아내 김건희씨를 비방하는 내용의 벽화가 등장해 논란이 되고 있다. 국민의힘은 심각한 명예훼손이라며 반발하고 나섰다.국민의힘 소속 김근식 경남대 교수는 29일 페이스북을 통해 “부동산 정책에 실패한 (홍남기)부총리가 얼토당토않은 ‘공유지의 비극’으로 국민들 열불 나게 하더니, 윤석열을 비난하는 친문 인사는 종로 한복판에 억지스러운 ‘사유지의 횡포’를 자행하고 있다”고 했다.김근식 교수는 “본인 건물이니 무슨 그림이든 자유라겠지만, 야권 제1주자와 관련된 확인되지 않은 잡스런 풍문을 기정사실화해서 벽화를 그려 불특정 대중에게 특정후보를 정치적으로 비방하는 행위는 사유지의 권리를 넘어 정치적 ‘횡포’이자 ‘만행’”이라며 “바로 옆 건물에 스피커를 달아서 이재명 지사의 형수욕설을 계속 틀고 벽에 여배우 스캔들을 풍자하는 벽화를 그리면 뭐라 할까? 야당 지지자들은 그따위 추잡하고 더러운 짓은 하지 않는다”고 했다.이어 “아무리 자유라지만 정치적으로 편향된 주장을 공개적인 장소에서 일방적으로 확산하는 건, 민주시민의 덕목을 스스로 포기하는 것”이라며 “확인되지도 않은 헛소리를 시내 한복판에서 무책임하게 떠벌이는 쥴리 벽화 사장님을 보니, 그 옛날 미국산 소고기가 광우병이라며 한미 FTA 반대를 외쳤던 광화문의 집단시위가 떠오른다”고 했다.김 교수는 “쥴리 벽화를 내거는 사람이나 이에 열광하며 성지순례 운운하는 자들이나, 최소한의 정치적 예의와 품격마저 갖추지 못한 수준 이하의 대깨문들”이라며 “광우병 파동이나 쥴리 벽화나 모두 근거 없는 정치적 선동의 최고봉들이다. 한심함의 극치”라고 했다.김미애 국민의힘 의원도 페이스북을 통해 “표현의 자유로 보호받을 수 없는 범죄행위다. 심각한 명예훼손”이라며 “유력 대권 주자 배우자라는 이유로 이렇게 허위사실에 의한 명예훼손을 해도 되나? 정치가 희화화되는 만큼 후진적 정치로 질낮은 정치인이 득세하게 되고 국가경쟁력은 떨어지고 결국 국민이 불행해진다”고 했다.이어 “이런 저질 불법행위에 대해서는 여야를 막론한 모든 정치인이 철퇴를 가해야 한다”고 했다.한편 서울 종로구 관철동 종로12길의 한 건물 옆면에는 가로 약 15m 세로 2.5m 길이의 벽화가 그려져 있었다. 연결된 철판 6장 위에 각각 그려진 총 6점이다.건물 입구 바로 옆의 첫 벽화에는 ‘쥴리의 남자들’이란 문구와 함께 ’2000 아무개 의사, 2005 조 회장, 2006 아무개 평검사, 2006 양검사, 2007 BM 대표, 2008 김 아나운서, 2009 윤서방 검사'라고 적혔다. 두 번째 벽화에는 한 여성의 얼굴 그림과 함께 ‘쥴리의 꿈! 영부인의 꿈!’이란 글이 적혔다.쥴리는 친문 성향 유튜브 채널 ‘열린공감TV’가 김건희씨 관련 음모론과 함께 퍼뜨린 김씨의 멸칭이다. 벽화에 나열된 이름들도 윤 전 총장을 비방할 목적으로 만들어진 시중 문건들에서 ‘김씨 연관 남성’으로 등장하는 이름들이다.이 벽화는 지난달 이 건물에 새로 입주한 ‘홍길동 중고서점’ 대표의 의뢰로 제작됐다고 한다. 서점 관계자는 “2주 전쯤 대표가 의뢰해 벽화가 들어서게 됐다”며 “우미관 인근 골목이 어둡고 우중충해 대표가 조명 설치와 함께 벽화를 그린 것 같다”고 했다.",https://www.chosun.com/politics/politics_general/2021/07/29/VHTOVLU5LNFCRMAWN3SBK3SRZM/?outputType=amp,정치,조선
