headline,contents,url,category,name
"반크 ""中바이두, 한복을 소수민족 조선족 의상으로 폄하 왜곡""","                               사이버 외교 사절단 반크는 중국 바이두(百度) 백과사전 사이트가  한복을 '조선족 전통의상'이라고 폄하 왜곡하고 있다고 29일 밝혔다.   중국 정부는 2008년 6월 한복을 중국내 소수민족인 조선족의 전통의상이라며 '국가 비물질문화유산'(무형문화재)으로 등록한 바 있다.   바이두는 이처럼 한복을 중국 의상으로 바꿨을 뿐만 아니라 세종대왕 초상화를 설명하며 '조선족 복장-조선 관복'이라고 소개했고, 조선족 복장 사진 자료 목록에 남매 연예인 김태희와 이완이 함께 한복을 입고 있는 모습을 게시했다.   한복(韩服)은 '한푸'(汉服)에서 기원했다는 잘못된 사실도 기록하고 있다.   2019년 신중국 창립 70주년을 맞아 제작한 영상(www.youtube.com/watch?v=I1TRHNvMYRk)에서도 중국 국가인 '나와 나의 조국'을 한복 입은 소녀가 부르는데, 한복이 '조선족의 전통의상'이라고 강조한다.   박기태 반크 단장은 ""우리의 찬란한 문화의 상징 중 하나인 한복이 중국의 조선족 의상으로 둔갑해 중국과 국제사회에 홍보되는 것을 막아야 한다""며 ""이를 방치하면 한복조차도 중국 문화로 만들어질 것""이라고 경고했다.   반크는 우선 바이두 측에 시정을 요청하는 항의 서한을 보냈고, 영국 콜린스 사전이 '한복, 한국의 전통의상'이라는 설명을 실은 자료 등도 보냈다.   또 중국의 한복 왜곡 대응 포스터를 제작해 배포하는 동시에 세계 최대규모 청원사이트인 '체인지닷오아르지'에 '중국 정부와 바이두는 한복의 왜곡을 중지해야 한다'라는 제목의  청원도 올렸다.   반크는 청원에서 중국 정부는 한복을 포함한 한국 전통과 문화를 침략하고 왜곡하는 것을 중단하고, 바이두는 한복이 중국 의류가 아니라는 점을 분명히 해야 한다고 요구했다.   국내 네티즌과 재외동포, 유학생들에게는 적극 한복을 알려 달라고 요청했다.                                /연합뉴스",https://www.hankyung.com/politics/article/202107297217Y,정치,한국경제
"윤호중 ""野 주자들, 사면 떼창…反탄핵 전선 의심""","                               더불어민주당 윤호중 원내대표는 29일 ""윤석열, 최재형, 홍준표, 황교안 등의 국민통합 이야기가 듣기 민망한 떼창을 듣는 것 같다""며 야권 대선주자들을 싸잡아 비판했다.   윤 원내대표는 이날 정책조정회의에서 ""국론분열, 국민갈등 유발자들이 앞다퉈 그 말씀을 하시니 어떻게 받아들여야할지 국민 혼란만 커진다""며 이같이 말했다.   윤 원내대표는 ""윤석열 전 검찰총장은 자신이 주도한 박근혜 전 대통령 수사에 대해 송구한 부분도 없지 않다며 탄핵이 잘못됐다는 뉘앙스를 풍긴다""며 ""최재형 전 감사원장은 정치적 유불리 계산을 떠나 국민통합을 위해 결단하라며 전직 대통령 사면을 촉구하는데, 정치적 셈법을 하는 분이 본인 아닌가 궁금하다""고 했다.   또 ""홍준표 의원은 사면하지 않으면 후회할 일이 올 거라고 하고, 황교안 전 미래통합당 대표도 협박에 가까운 발언을 쏟아낸다""며 ""무리하다 못해 무례하다""고 비판했다.   윤 원내대표는 ""제1야당의 대선주자들이 앞서거니 뒤서거니 탄핵의 강 뒤편으로 가려는 것 같아 우려스럽다""며 ""사면을 국민 통합으로 슬쩍 둔갑시켜 반탄핵 전선을 구축하려는 것 아닌지 저의가 의심된다""고 말했다.   그러면서 ""촛불 민심을 거스르고 헌정질서를 거꾸로 돌리는 야권의 통합론, 정치 사면은 국민이 요구하지 않을 것""이라고 덧붙였다.   /연합뉴스",https://www.hankyung.com/politics/article/202107297210Y,정치,한국경제
"'알선수재' 원유철 수감…""정치적 표적수사, 진실 밝힐 것""","""김경수 유죄확정 선고에 野인사 싸잡으려 졸속 결정""                                                           대법원 판결로 실형이 확정된 원유철 전 미래통합당(국민의힘 전신) 의원은 29일 ""철저한 정치적 표적수사였다""고 주장했다.   원 전 의원은 이날 평택지청 교도소에 수감되기 전 발표한 입장문에서 ""검찰 기소부터 대법원 선고까지 정무적으로 진행한 형사재판이 아닌 사실상 정치재판이었다""며 이같이 밝혔다.   대법원은 지난 21일 특정경제범죄 가중처벌법상 알선수재 혐의로 기소된 원 전 의원에게 징역 1년 6개월을 선고하고 추징금 5천만원을 명령한 원심판결을 확정한 바 있다.   원 전 의원은 ""단 한 사람도 고소·고발한 사람도 없었고 대대적으로 벌였던 먼지떨이 식 수사로 무려 13개 혐의로 기소했지만, 실형은 알선수재 단 하나였다""며 ""유죄를 받은 알선수재 혐의는 완전히 조작된 것""이라며 억울함을 호소했다.   그러면서 같은 날 대법원에서 확정판결을 받은 김경수 경남지사를 언급, ""여권 인사를 선고하는데 야권 인사도 싸잡아서 하다 보니 심층 심리를 생략한 채 졸속으로 내린 결정이 아닌가 싶어 참담하다""고 했다.   원 전 의원은 ""후진적인 정치보복, 표적 수사를 근절해야 한다""며 ""내년 대선은 대한민국의 상식적 국민이 정상적으로 살아가는 나라로 만드는 날이 돼야 한다""고 주장했다.   그는 ""솔직히 마음으로 승복이 안 된다""며 ""향후 재심 청구 등 모든 제도와 법률이 허용되는 자원을 총동원해 진실을 밝혀나갈 것""이라고 했다.   /연합뉴스",https://www.hankyung.com/politics/article/202107297167Y,정치,한국경제
"서울 종로구, 6·25 참전 유공자 명비 건립",서울 종로구(구청장 김영종)는 연내 서울대학교병원 현충탑 부지에 6·25 참전 유공자 명비를 건립한다고 29일 밝혔다.   기존에 '이름 모를 자유전사의 비'가 자리한 이곳에 6·25 참전 유공자 명비를 추가로 세워 역사적 상징성을 더할 계획이라고 종로구는 설명했다.   해당 부지는 1950년 6월 28일 국군 부상병과 민간인 900여 명이 참혹하게 학살된 장소다.   명비에는 종로구 내 거주하거나 주소지를 두고 있다가 사망한 참전 유공자 1천200명의 이름이 새겨진다.   종로구는 명비 각인 대상자를 확정하기 위해 8월 2∼13일을 명단 열람 기간으로 정했다.   열람을 원하는 사람은 구청 홈페이지를 참고하면 된다.                                /연합뉴스,https://www.hankyung.com/politics/article/202107297155Y,정치,한국경제
"정진석, 문대통령에 '드루킹 사과' 1인시위…安, 격려방문","                               국민의힘 정진석 의원이 29일 '드루킹 사건' 관련, 문재인 대통령의 사과를 촉구하는 1인 시위에 들어갔다.   정 의원은 이날 오전 청와대 앞 분수대 광장 1인 시위에서 ""유구무언은 문 대통령의 유일한 위기 탈출 매뉴얼인가""라며 문 대통령의 입장 표명과 사과를 촉구했다.   정 의원은 ""(드루킹 사건은) 선거의 공정성을 해치는 민주주의 본령을 유린하고 파괴한 중대범죄""라며 ""김경수는 문 대통령의 그림자이고 가족 같은 사람이다.   몰래 대선 여론조작을 벌였다는 건 있을 수 없다""고 주장했다.                                   이날 시위 현장에는 국민의당 안철수 대표가 방문해 힘을 보탰다.   정 의원은 ""2017년 4월 문재인 후보와 안철수 후보의 격차는 거의 미미했다.   박빙의 승부였다""며 ""그때 드루킹 댓글 조작이 집중적으로 작동됐던 것""이라고 안 대표가 '최대 피해자'라고 말했다.   안 대표는 ""지난 대선 때 이뤄진 드루킹과 김경수의 범죄는 세계 민주주의 역사상 가장 큰 규모 최악의 여론조작 사건""이라며 ""대한민국 모두가 피해자""라고 말했다.   그러면서 ""문 대통령의 당선 확률이 높았다고 해도 올림픽 금메달 유력 후보가 도핑해도 괜찮단 말인가""라며 ""이 정권은 정통성이 훼손된 게 아니라 처음부터 정통성이 존재하지 않았다""고 비판했다.   안 대표는 김정숙 여사의 '경인선으로 가자' 발언과 드루킹 외에 추가 조직, 드루킹 사건의 '몸통' 여부 등에 대해 추가 수사를 진행해야 한다고 강조했다.   /연합뉴스",https://www.hankyung.com/politics/article/202107297126Y,정치,한국경제
"이준석 ""安 버스 타야 배터리 완전충전…다음주가 시한""","국민의힘 이준석 대표는 29일 국민의당과의 합당 실무협상 결렬과 관련, ""협상의 열기가 다 식기 전에 당 대표간 협상에 응해달라""고 국민의당 안철수 대표에게 촉구했다.   이 대표는 이날 최고위원회의에서 ""합당의 결실을 만들어내지 못하면 우리 양당은 국민의 기대를 저버리는 것""이라며 이같이 밝혔다.   그는 ""이미 우리 협상단은 국민의당 측 인사에 대한 당직 배려 등에 대해 긍정적으로 검토하겠다는 입장도 전달했다""고 덧붙였다.   이 대표는 ""안 대표가 합당을 통해 범야권 대선후보로 경선버스에 탑승해줘야 제 뒤에 있는 배터리 그림이 완전히 충전된다""고 말했다.   국민의힘은 최고위 회의실 배경판에 '로딩 중'이라는 글귀와 함께 충전 중인 배터리를 그려놨다.   야권의 주자들이 8월 말 출발 예정인 '경선 버스'에 모두 올라타야 한다는 의미다.   이 대표는 ""합당은 그 자체로 1∼2주가 걸리는 과정이다.   합당을 완결하고 안 대표를 버스에 모시려면 다음 주중으로는 대표 간 회담을 통해서 이견이 조율돼야 한다""고 강조했다.         /연합뉴스",https://www.hankyung.com/politics/article/202107297078Y,정치,한국경제
군 코로나19 확진자 2명 추가…30세 이상 2차 접종률 94%,"                               군내 신종 코로나바이러스 감염증(코로나19) 확진자가 2명 추가됐다고 국방부가 29일 밝혔다.   서울 국방부 직할부대의 군무원이 가족 확진으로 자가격리 중 증상이 나타나 검사를 받았고, 경남 진해의 해군 간부는 자녀가 민간 확진자와 접촉해 동반 격리 중 검사를 받고 각각 확진됐다.   둘 다 아스트라제네카 백신 1차 접종자로 파악됐다.   이로써 이날 오전 10시 현재 군내 누적 확진자는 1천497명으로 늘었고, 이 가운데 305명이 치료를 받고 있다.   한편 전날까지 30세 이상 장병 2차 백신 접종 인원은 총 10만9천773명으로, 1차 접종자 11만7천여 명 대비 93.9% 수준이다.   /연합뉴스",https://www.hankyung.com/politics/article/202107297070Y,정치,한국경제
"이낙연 ""檢 옵티머스 수사, 아직도 미심쩍은 것 있다""","尹 부산행에 ""국밥집서 낮에 소주, 방역지침 지켰나""                                                           더불어민주당 대권주자인 이낙연 전 대표는 29일 측근의 '옵티머스 사건' 연루 의혹과 관련해 ""그 사건의 조사에 대해서 아직도 미심쩍은 것이 있다""며 검찰의 편파 수사 가능성을 언급했다.   이 전 대표는 이날 KBS 라디오에 출연해 이같이 말하고 ""검찰이 균형 있게 봤느냐, 제대로 봤느냐에 대해서 저는 의심을 갖고 있다""고 강조했다.   그는 ""(검찰이) 과잉 수사를 하다가 저를 도왔던 사람이 불행한 결과를 맞았죠""라며 ""그것에 대해서 검찰이 뭔가를 이야기하기로 했었는데 지금까지 말이 없다""라고 비판했다.   그러면서 ""그것뿐만 아니라 다른 문제들에 대해서도 제가 이야기를 않고 있다.   (상호 비방) 자제 분위기와 맞지 않아서 말을 않는 것""이라며 이 사건과 당내 다른 경선 후보와의 관련성을 암시하기도 했다.   '옵티머스 사건'에 대한 입장을 재차 밝힌 것은 이 문제가 당내 경선을 넘어 본선에서도 '리스크'로 작용할 수 있다고 판단에서 조기에 논란을 차단하기 위한 것으로 보인다.   경선 경쟁자인 이재명 경기지사는 전날 TV토론에서도 ""대통령은 권한 남용이나 부정부패, 친인척 등 측근의 비리가 있어선 안 된다""며 이 전 대표 측근의 옵티머스 연루 의혹을 우회적으로 부각하려는 게 아니냐는 분석이 제기됐다.   이 전 대표는 전날 '원팀 협약'을 하고도 TV토론에서 상호 비방이 계속된 것과 관련해선 ""상대 후보가 오히려 이쪽이 흑색선전이다, 책임져야 한다고 해 문제가 계속되는 상황이 됐다""며 ""경쟁의 속성이 있기 때문에 어디까지 자제가 될지 모르겠다""고 말했다.   그는 야권 유력 대권주자인 윤석열 전 검찰총장을 향해서는 ""준비 부족을 여과 없이 보여주고 있다""며 ""엊그제 국밥집에서 낮에 소주를 마시고 계시던데, 방역지침을 충실히 지키고 계시는지 (모르겠다)""라고 했다.   민주당이 입법에 속도를 내는 언론중재법과 관련해서는 ""불가피한 면이 있었다고 생각한다.   21년 기자로 산 사람으로서 안타깝지만 제가 현직 기자라면 그것을 환영했을 것 같다""고 했다.   /연합뉴스",https://www.hankyung.com/politics/article/202107297045Y,정치,한국경제
"킨타나 ""남북대화 재개시 이산가족 상봉부터 다뤄야""","                               토마스 오헤아 킨타나 유엔 북한인권특별보고관이 남북대화가 재개되면 이산가족 상봉을 가장 먼저 다뤄야 한다고 강조했다.   킨타나 보고관은 지난 27일 남북한 간 연락통신선이 복원된 것과 관련해 미국 자유아시아방송(RFA)에 성명을 보내 이같이 밝혔다고 RFA가 29일 전했다.   킨타나 보고관은 성명에서 ""고령의 이산가족들은 '4·27 판문점 선언'에 따라 지난 2018년 8월 마지막으로 열린 상봉 이후 계속해서 사랑하는 가족과 만날 날을 기다리고 있다""고 말했다.   그는 ""신종코로나바이러스감염증(코로나19) 때문에 대면 상봉이 어렵다면, 화상 상봉을 마련해 이산가족들의 고통을 완화하고 가족과 대화하고자 하는 소망을 이뤄주는 것이 남북 정부의 분명한 책임""이라고 지적했다.   이어 ""이산가족 상봉은 인도주의적 사안일 뿐 아니라 가족 보호를 명시한 세계인권선언 상의 기본권""이라고 역설했다.   그는 이산가족 문제를 정치화해서는 안 된다며 특히 북한이 그렇게 하지 않기를 바란다고도 강조했다.   정부도 이산상봉을 최우선 과제로 상정하고 있다.   이인영 통일부 장관은 지난 27일 남북연락선이 복원되자 자신의 SNS에 ""이제 시작이다.   개성공단, 이산가족 상봉 등 더 노력해나가겠다""고 말했다.   한편, 킨타나 보고관은 남북 대화와 미래의 미북 대화 재개를 환영한다면서도 ""북한과 관여하려는 모든 정부와 국가들은 북한 인권 문제를 다루는 것을 잊어서는 안 된다""라고도 밝혔다.   /연합뉴스",https://www.hankyung.com/politics/article/202107296996Y,정치,한국경제
천안시 도시공원 8곳서 코로나19 방역수칙 준수 집중단속,"                               충남 천안시 도시건설사업본부는 시내 8개 주요 공원에서 신종 코로나바이러스 감염증(코로나19) 방역수칙 준수 여부를 집중단속한다고 29일 밝혔다.   내달 6일까지 관할 지구대 경찰관과 합동으로 한다.   단속 대상은 마스크 착용 여부, 5인 이상 집합 금지, 공원 내 취식 행위 등이다.   이달 말까지 계도기간을 거쳐 다음 달부터 적발 시 10만원의 과태료를 부과한다.   공원 8곳은 신부문화공원, 천호지공원, 신부공원, 청수공원, 아름드리공원, 능수버들공원, 방아다리공원, 원두정먹거리공원이다.   /연합뉴스",https://www.hankyung.com/politics/article/202107296991Y,정치,한국경제
