headline,contents,url,category,name
 ‘조두순 등 개명 못하게 막는다’···신상공개 범죄자 개명금지법 발의,"조두순 등 신상공개 범죄자의 개명 신청을 법으로 불허하는 방안이 추진된다. 임호선 더불어민주당 의원은 29일 유죄 판결이 확정된 신상 정보공개 대상자가 개명 신청을 하는 경우 법원에서 개명 신청을 허가하지 않을 수 있도록 하는 ‘특정강력범죄 처벌에 관한 특례법 개정안’을 발의했다. 현행법으로는 범행 수단이 잔인하고 중대한 피해가 발생한 특정 강력범죄 사건의 경우 국민의 알권리 보장 및 재범방지와 범죄예방 등의 공공의 이익을 위해 피의자의 성명 얼굴 나이 등의 신상을 공개할 수 있게 돼 있다. 성범죄자의 경우는 성범죄자 알림e 홈페이지를 통해 성명, 실거주지를 공개하고 있다. 하지만 신상이 공개된 경우라도 개명을 하게 되면 제도의 취지가 퇴색될 수 있다는 지적이 잇따른 바 있다. 현재도 가정법원 등이 개별 개명신청 사건의 심리를 하면서 신청인의 범죄경력 등을 조회해 문제가 있을 경우 개명을 불허하고 있는 것으로 전해졌다. 개정안은 ‘신상정보 공개대상자로서 특정강력범죄로 유죄의 확정 판결을 받은 사람이 개명 신청을 한 경우 법원은 해당 개명 신청을 허가하지 않을 수 있다’고 명시했다. 이번 개정안은 특정강력범죄사건의 개명 가능성을 효과적으로 차단하기 위해 법적 근거를 마련하는 취지가 담겼다고 임 의원은 설명했다. 신상정보 공개자의 대표적인 사례로 조두순을 비롯해 노원 세모녀 살인사건의 김태현, N번방 사건의 조주빈 등이 있다. 최근에는 제주 중학생 살인사건의 피의자인 백광석, 김시남 등이 있다. 임 의원은 “피의자 신상공개제도는 사회에 큰 충격을 끼친 강력범죄 피의자의 신상을 공개함으로써 피의자 재범을 방지하여 강력범죄로부터 국민을 보호하기 위한 제도”라며 “신상공개제도의 취지가 퇴색되지 않도록 범죄자의 개명신청을 불허할 수 있는 근거를 마련해야 한다”고 말했다.",https://www.khan.co.kr/politics/assembly/article/202107291036001,정치,경향
" 윤호중 “야권 대선주자, 탄핵의강 저편으로 돌아가는 것 같아”","윤호중 더불어민주당 원내대표는 29일 “제1야당 대선 주자들이 앞서거니 뒷서거니 탄핵의강 저편으로 돌아가는 것 같아서 우려스럽다”고 말했다. 윤 원내대표는 이날 국회에서 열린 민주당 정책조정회의에서 이같이 주장했다. 윤 원내대표는 “야권 주자들에게서 국민통합이라는 단어가 부쩍 자주 들린다”며 “국론분열, 국민갈등 유발자들께서 앞다퉈 그 말씀을 하시니까 국민 혼란만 있다”고 말했다. 윤 원내대표는 “윤석열 전 검찰총장은 자신이 주도한 박근혜 전 대통령 수사에 송구한 점도 없지 않다고 했다. 탄핵이 잘못됐다는 뉘앙스”라며 “최재형 전 감사원장은 정치적 유불리를 떠나 국민 통합을 위해 결단하라며 (전직 대통령들) 사면을 촉구했다”고 말했다. 그는 또한 “홍준표 의원은 대사면을 하지 않으면 후회할 날이 올 것이라 말했고 황교안 전 미래통합당(현 국민의힘) 대표는 ‘문 대통령이 고초를 겪지 않으려면 빨리 (박 전 대통령을) 사면하라’며 협박에 가까운 발언을 했다”며 “무리하다 못해 무례하다”고 말했다. 윤 원내대표는 “이분들의 국민통합 얘기가 듣기 민망한 떼창을 듣는 것 같다”며 “사면을 국민 통합으로 슬쩍 둔갑시켜 주장하고, 반탄핵 전선을 구축하려는 것 아닌지 저의가 의심된다”고 말했다. 그는 “(이런 주장들은) 촛불 민심에 거스르고 헌정 질서를 거꾸로 돌리는 야권의 통합론으로, 정치 사면은 국민이 요구하지 않을 것”이라며 “탄핵에 대한 분명한 입장을 밝히길 거듭 촉구한다”고도 말했다. 장경태 의원은 윤석열 전 총장을 지목하며 “박근혜 전 대통령의 유체이탈을 ‘윤체이탈’로 승화시킨 듯 하다”며 “국민 마음과 동떨어진 망언을 일삼고 선택적 망각을 한다. 작은 것도 확대해석하며 자기 과오는 전혀 보지 않고 상황에 따라 쉽게 바꾸는 걸 보면 박근혜의 유체이탈과 다를 바 없다”고 말했다. 장 의원은 또 ‘드루킹 특검’을 연장하라고 요구한 데 대해서는 “(현 정부의) 정통성을 운운하며 대법원 판결이 난 사건을 다시 수사하라는 것인데, 앞뒤가 맞지 않는 말이 야권 대선주자이자 전 검찰총장에게 나왔다는 게 믿기지 않는다”고 주장했다.",https://www.khan.co.kr/politics/assembly/article/202107291027001,정치,경향
" 이준석 “윤석열 입당은 무조건 8월, 입당 없으면 칼 같은 징계”","이준석 국민의힘 대표가 윤석열 전 검찰총장의 입당에 대해 “무조건 8월이라고 생각한다”며 밝혔다. 다만 윤 전 총장 캠프에 합류한 국민의힘 인사들을 거론하며 “(당 대선 경선) 후보 등록이 끝났는데 윤 전 총장이 없다면 (이들은) 제명”이라며 입당 압박도 했다. 이 대표는 29일 CBS라디오 <김현정의 뉴스쇼> 인터뷰에서 “(윤 전 총장의) 입당하겠다는 의지는 계속 확인하고 있다”면서 이같이 밝혔다. 이 대표는 윤 전 총장 캠프에 합류한 당협위원장 등 당내 인사들을 거론하며 “8월 입당이 아니면 그분들을 데려간게 무리수이기 때문에 무조건 8월이라 생각한다”고 밝혔다. 이 대표는 이어 “(윤 전 총장 입당을) 신뢰하기 때문에 지금 징계를 안 하는 것이지 원래는 칼같이 징계해야 한다”면서 “후보 등록이 끝났는데 윤 전 총장이 없다면 그분들은 제명하고 시작하는 것”이라고 강조했다. 이 대표는 윤 전 총장의 구체적인 입당 시점에 대해서는 “예측 불가능한 상태”라고 말했다. 그는 “(8월) 15일 박근혜 전 대통령 사면이 있을 수 있다는 얘기도 있고, 9일부터 13일이 제 휴가다 보니 (8월 초 입당) 얘기가 나오는 것 같은데 언질을 받은 것은 아니다”라며 “(전직 대통령) 사면이 이뤄지지 않으면 며칠 시간을 두고 20일, 30일 갈 수도 있는 것 아니겠나”고 말했다. 이 대표는 언론중재법 강행 처리를 놓고 서로 공방했던 이재명 경기지사를 향해서는 “조금이라도 틀린말 하면 징벌하겠다는 것 아니냐”며 “가짜뉴스나 음모론을 제기하는 방송도 있는데, 그런 것들에 대해서는 한마디도 안하시냐”고 비판했다. 그러면서 “대선 앞두고 이 지사가 걱정되는게 많으신게 아닌가. (이 지사 자신에 대해) 말하려면 아주 확실한 물증을 가지고 이야기하라고 언론사를 압박하고자 하시는게 아닌가 생각한다”고 했다. 앞서 이 대표는 전날 민주당의 언론중재법 강행 처리에 대해 “노무현 정신과 어긋난다”고 비판했다. 이 지사는 “노무현 정신을 호도하지 마라”고 반박했다. 이 대표는 국민의당과의 합당 문제에 대해서는 “오해가 있더라도 지도자 간 회담으로 해결할 수 있다”며 “(안철수 대표가) 이번 주말이나 다음주 초 정도라도 저랑 무조건 만나서 합의를 봐야한다”고 말했다.",https://www.khan.co.kr/politics/politics-general/article/202107290940001,정치,경향
 신형 '차량형 박격포’ 전방에 첫 투입,"차량으로 운반하는 신형 박격포가 전방에 처음 투입됐다. 방위사업청은 29일 “차량 운반이 가능하고 디지털 기술을 적용해 사격 정밀도가 향상된 81㎜ 박격포-Ⅱ의 최초 양산 물량을 지난 6월 군에 인도했다”고 밝혔다. 신형 방사포의 최초 양산물량은 전방 보병사단에 배치됐다. 방사청은 2024년까지 실전 배치를 완료할 계획이다. 방사청은 “그동안 군에서 운용하던 81㎜ 박격포는 장병들이 직접 운반해야 했으나 신형 박격포는 장비와 운용 인원을 위한 전용차량을 도입해 기동성을 높이고 장병들의 피로도와 부상 위험을 줄였다”고 설명했다. 신형 81㎜ 박격포는 세계 최초로 자동 표적획득, 표적정보 데이터 처리, 사격제원 자동 산출 등의 디지털 기술을 적용했다. 신형 박격포는 관측부터 사격까지 자동화를 통해 사격 준비시간을 6분에서 3분으로 줄였고 정밀 사격 능력까지 갖췄다. 무게도 기존보다 20% 정도 가벼워졌다. 방사청은 이번 전력화를 통해 세계 최초로 81㎜ 박격포에 디지털 기술이 적용된 장비를 2024년까지 한국군에 보급함과 동시에 개발업체와 함께 해외 수출에도 매진할 계획이다. 박영근 방사청 화력사업부장은 “신형 박격포의 전력화로 군 장병의 안전성과 보병부대의 화력이 크게 향상될 것”이라며 “후속 양산 사업도 차질 없이 추진해 우수한 국산 장비를 해외 시장에 소개할 수 있도록 적극적으로 지원하겠다”고 말했다.",https://www.khan.co.kr/politics/defense-diplomacy/article/202107290938001,정치,경향
" 윤석열·이재명 선두 각축, ‘5%’ 벽 넘은 최재형","윤석열 전 검찰총장과 이재명 경기지사가 대선 주자 지지율에서 오차범위 안에서 각축하며 ‘양강 구도’를 유지하고 있다는 여론조사 결과가 29일 나왔다. 이낙연 전 더불어민주당 대표는 지지율 상승곡선을 그리며 3위를 유지했고, 최재형 전 감사원장은 ‘5%’ 벽을 넘으며 4위로 올라섰다. 윤 전 총장은 여론조사 전문기관 리얼미터가 <오마이뉴스> 의뢰로 전국 18세 이상 남녀 2058명을 대상으로 한 7월4주차 차기 대선주자 선호도 조사에서 지지율 27.5%로 지지율 1위를 기록했다. 이 지사가 지지율 25.5%로 뒤를 이었다. 두 사람의 지지율 격차는 2.0%포인트로 오차범위 내 접전을 이어갔다. 윤 전 총장과 이 지사 모두 지난 15일 나온 같은 기관 조사에 비해 지지율이 소폭 하락했다. 윤 전 총장은 7월2주차 조사 지지율 27.8%에서 0.3%포인트 떨어졌고, 이 지사도 26.4%에서 0.9%포인트 하락했다. 이낙연 전 대표는 지지율 16.0%로 3위 자리를 지켰다. 지난 조사보다 0.4%포인트 상승한 수치다. 이 전 대표는 지난 15일 나온 조사에서 직전 조사 대비 7.2%포인트가 오른 지지율 15.6%를 기록하며 분위기 전환에 성공했다. 이 전 대표는 이번 조사에서도 지지율이 올랐지만, 상승폭은 지난 조사보다는 떨어졌다. 최재형 전 감사원장은 리얼미터 조사에서 처음으로 지지율 5% 벽을 넘으며 4위에 올라섰다. 최 전 원장은 지난 조사 대비 1.3% 포인트 지지율 상승을 기록했다. 최 전 원장 뒤로는 홍준표 국민의힘 의원(4.4%), 추미애 전 법무부 장관(4.1%), 정세균 전 국무총리(2.1%), 안철수 국민의당 대표(2.0%) 순으로 나타났다. 범진보·여권 주자군(이재명·이낙연·추미애·정세균·심상정·박용진·김두관) 지지율 총합은 지난 조사보다 0.9% 하락한 50.0%로 나타났다. 범보수·야권 주자군(윤석열·최재형·홍준표·안철수·윤희숙·유승민·하태경·황교안·원희룡) 지지율 합계는 1.7% 높아진 46.0%였다. 양 진영 사이 격차는 6.6%포인트에서 4.0%포인트로 좁혀졌다. 이번 조사는 무선(90%)·유선(10%) 무작위 생성 표집틀을 통한 임의 전화걸기(RDD) 자동응답 방식으로 실시했다. 표본오차는 95% 신뢰수준에서 ±2.2%포인트다. 보다 자세한 사항은 중앙선거여론조사심의위원회 홈페이지를 참조하면 된다.",https://www.khan.co.kr/politics/politics-general/article/202107290928011,정치,경향
" 1인시위 나선 '친윤' 정진석 “대통령, 드루킹 여론조작 왜 모른척하나”","정진석 국민의힘 의원이 29일 ‘드루킹 댓글 조작 사건’과 관련해 김경수 전 경남지사가 유죄 확정 판결을 받은 것을 두고 문재인 대통령의 사과를 촉구하는 1인 시위에 나섰다. 정 의원은 이날 오전 8시부터 청와대 앞 분수대 광장에서 1인 시위를 시작했다. 정 의원은 사회관계망서비스(SNS)에 시위 사진을 올리고 “드루킹 대선 여론조작에 대한 대통령의 침묵은 묵비권 행사입니까. 유구무언이 대통령의 유일한 위기탈출 매뉴얼입니까. 대통령은 국민 앞에 머리숙여 사죄해야 합니다”라고 적었다. 정 의원은 ‘드루킹 특검’을 재개·연장해야 한다는 윤석열 전 검찰총장과 같은 목소리를 내왔다. 윤 전 총장이 지난 25일 김경수 경남지사 대법원 판결 관련 입장을 내면서 “허익범 특검에게 진짜 책임자와 공범을 수사할 수 있도록 특검 활동을 연장 재개할 수 있게 해야 한다”고 주장했다. 정 의원은 27일 SNS에서 “허익범의, 김성태의 우공이산을 이제 우리가 실천해야 할 때”라고 적었다. 김성태 전 의원은 자유한국당 원내대표이던 2018년 3월 드루킹 특검을 요구하며 단식투쟁을 벌였다. 정 의원은 국민의힘 소속 국회의원 단체 카카오톡 대화방에서도 “드루킹 주범을 민주 법정에 세워야한다”며 릴레이 시위를 제안했다. 윤 전 총장과 경쟁관계인 최재형 전 감사원장과 가까운 김용판 의원이 이에 반발하는 등 ‘계파 논란’이 불거지며 갈등이 일기도 했다.",https://www.khan.co.kr/politics/politics-general/article/202107290850001,정치,경향
" 김정은, 북중 우의탑에 헌화 ""조중친선 대를 이어 굳건히 계승""",김정은 북한 국무위원장이 6·25전쟁 정전협정 체결 68주년을 맞아 북중 우의탑에 헌화하고 양국 혈맹관계를 계승할 것이라고 밝혔다. 조선중앙통신은 “김정은 동지께서 조국해방전쟁 승리 68돌에 즈음하여 7월28일 우의탑을 찾으셨다”며 “혈연적 유대로 맺어진 조중친선은 공동의 위업을 위한 한길에서 대를 이어 굳건히 계승될 것이라고 말씀하셨다”고 보도했다. 보도에 따르면 김 위원장은 “우리 공화국이 가장 혹독하고 힘든 고비를 겪을 때 우리 인민의 성스러운 역사적 투쟁을 피로써 지원한 중국 인민의 고귀한 넋과 공적은 번영하는 사회주의조선과 더불어 불멸할 것”이라며 “항미원조 보가위국의 기치를 높이 들고 가열처절한 전화의 나날들에 우리 군대와 어깨 겯고 싸운 지원군 장병들의 참다운 전투적 우의와 무비의 희생정신은 전승의 역사와 우리 인민의 기억속에 역역히 새겨져 있다”고 말했다. 김 위원장이 우의탑을 참배하고 헌화한 것은 지난해 10월 중국인민지원군 참전 70주년과 2019년 6월 시진핑 중국 국가주석 방북 당시에 이어 세번째이다.,https://www.khan.co.kr/politics/politics-general/article/202107290838001,정치,경향
 ‘원팀 협약’ 7시간 만에…또 ‘노무현 탄핵·백제 발언’ 놓고 설전,"이재명, 이낙연에 “대선 후보로 품격과 무능, 뭐가 더 중하냐”이낙연은 “전 국민 재난지원금 지급에 태도 오락가락” 반격정세균, 이 지사 ‘백제’·이 전 대표 ‘탄핵’ 문제 싸잡아 공격 더불어민주당 대선 후보 본경선의 첫 TV토론회가 28일 살얼음판을 걷듯이 진행됐다. 후보들은 토론회 전반부 상호비방을 자제했지만 후반부에는 ‘노무현 전 대통령 탄핵 찬반’ ‘백제 발언’ 등을 놓고 치열한 공방을 벌였다. 후보들이 토론회 7시간 전 상호비방을 자제하고 페어플레이를 다짐하며 맺은 ‘원팀 협약’의 효과가 반감되는 모습이었다. 후보 6명이 서울 중구 MBN 스튜디오에서 펼친 토론회는 후반부로 갈수록 거칠어졌다. 이재명 후보는 이낙연 후보에게 “대통령 후보로서 품격과 무능함 중 어떤 게 더 중요하냐”고 물었다. ‘품격 있는 후보’를 내세우는 이낙연 후보에게 ‘무능한 것 아니냐’고 공격한 것이다. 이재명 후보는 “전남지사 재임 시절 공약 이행률이 낮은 이유”와 “국무총리 기간 중 성과가 무엇이냐”고도 물었다. 이낙연 후보는 “전남지사 공약 21개 중 20개를 이행했다”며 “총리로선 조류인플루엔자·산불 대응에 성과를 냈다”고 맞받았다. 이낙연 후보는 이재명 후보의 전 국민 재난지원금 지급에 대한 입장 변화에 대해 “태도가 오락가락한다”고 비판했다. 이재명 후보는 “말이 바뀐 게 아니라 상황이 바뀐 것”이라며 되레 이낙연 후보가 전직 대통령 사면에 대한 입장을 상황에 따라 바꿨다고 공격했다. ‘백제 발언’ 논란도 재론됐다. 정세균 후보는 이재명 후보에게 “사과하고 털고 넘어가는 게 낫지 않겠냐”고 했다. 이재명 후보는 “전체 맥락을 보면 지역 이야기를 한 것이 아니다. 작년 7월 이낙연 후보에게도 똑같이 말씀을 드렸다”고 했다. 이낙연 후보는 “저를 만났을 때 백제 발언은 없었다. 지역은 우리 사회의 상처인데 상처는 아픈 사람 입장에서 볼 필요가 있다”고 했다. 이재명 후보는 “저를 지역주의로 공격하기 위해 지역주의 망령을 끌어낸 것에 대해서는 책임져야 한다”고 맞받았다. 노 전 대통령 탄핵 찬반 논란도 다시 나왔다. 정세균 후보는 이낙연 후보에게 “노 전 대통령 탄핵 관련 당시 언론은 이낙연 후보가 찬성으로 돌아섰다고 보도했다. 이낙연 후보는 입장을 분명히 하지 않고 무덤까지 가져가겠다고 했는데 최근 반대했다고 말했다”고 했다. 이낙연 후보는 “거듭 말하지만 반대했다. 그 당시 민주당 내부의 고통을 잘 이해하실 것이다. 그 때문에 말하지 않았던 것”이라고 했다. 정세균 후보는 박용진 후보의 ‘수익률 7% 내는 국부펀드’ 공약에 “수익률의 근거가 부족하다”며 자신의 경제전문가 이미지를 부각했다. 박 후보는 남녀평등복무제 공약을 강조했고 추미애 후보는 “남녀가 군대에 가야 평등하다는 기계적 평등에 반대한다”고 말했다. 김두관 후보는 추 후보에게 “검찰개혁도 못하고, 윤석열 전 검찰총장도 잡지 못했다”고 몰아세웠다. 추 후보는 “윤 전 총장은 이미 제가 잡아놨다”고 말했다. 다음달 4일과 11일 2·3차 TV토론회가 열린다. 당 선관위는 17차례의 TV토론회 개최를 검토 중이다. 민주당 초선의원 모임 초청 토론회 등을 더하면 총 20차례가 넘을 것으로 보인다. TV토론회가 본경선 승부를 가를 것이라는 예상이 나오는 이유이다. 최근 1·2위 후보의 지지율 격차가 줄어들게 된 계기도 예비경선 TV토론회의 영향이라는 것이 각 캠프들의 공통된 평가다. 한 캠프 관계자는 “도쿄 올림픽이 끝난 뒤 매주 2~3회씩 열리는 TV토론회에서 어떤 모습을 보여주느냐가 승부에 큰 영향을 미칠 것”이라고 말했다.",https://www.khan.co.kr/politics/assembly/article/202107282102005,정치,경향
" 국민의힘, 9월15일 100% 여론조사로 대선 1차 컷오프…8명 압축","국민의힘이 대선 예비경선을 앞두고 당 밖 주자들을 대상으로 ‘당근과 채찍’ 전략을 구사하고 있다. 국민의힘은 1차 예비경선(컷오프)을 100% 여론조사로 결정하고, 29일 당내 대선 주자들을 초청해 첫 간담회를 열기로 했다. 당원보다 일반 시민 여론조사를 100% 반영한다는 점에서 외부 주자를 배려한다고 해석되지만, 당내 주자들의 활동 공간을 마련해준다는 점에선 당 밖 주자의 입당을 압박한 것이다. 국민의힘 대선경선준비위원회의 이 같은 결정은 윤석열 전 검찰총장 등 당 밖 주자와 최재형 전 감사원장처럼 갓 입당한 주자를 배려한 것으로 해석된다. 앞서 경선준비위는 지난 27일 1차 경선에서 100% 시민 대상 여론조사를 통해 오는 9월15일 후보를 8명으로 압축하겠다고 밝혔다. 당원 투표(50%)는 본경선에서 반영하는 방향으로 검토했다. 경선준비위는 책임당원 자격을 대폭 완화해 지금부터 입당하는 당원들도 경선 투표에 참여할 수 있는 방안을 적극 검토 중이다. 현행 당규는 1년 중 3개월 이상 월 1000원 이상 당비를 납부해야만 책임당원 자격을 얻어 경선 투표를 할 수 있다. 당규를 개정해 월 1000원 이상 당비를 한 번만 내도 책임당원으로 인정해 경선 투표에 참여할 수 있도록 하겠다는 것이다. 서병수 경선준비위원장은 28일 기자와 통화하면서 “기존 당원으로만 선거인단을 구성하게 되면 외부 인사들에게 다소 불리할 수도 있다”며 “당 밖 주자에 대한 불공정 문제를 해소하고, 당원도 늘리기 위해서 (책임당원 자격 완화 방안을) 긍정적으로 검토 중”이라고 밝혔다. 다만 책임당원 자격 요건 완화가 기존 당내 주자들에게 오히려 유리할 것이란 반론도 있다. 경선준비위 관계자는 “(기존 당내 후보들이) 조직력을 동원할 수 있어서 혼탁해질 수 있다”며 “외부에서 이제 (갓) 입당해 (당내) 조직이 없는 후보에게 형평성 문제가 있을 수 있다”고 말했다. 이와 관련해 윤 전 총장의 8월 초 입당설에 힘이 실리고 있다. 윤 전 총장 캠프 관계자들이 8월 초 입당에 무게를 두고 있고 친윤석열계 국민의힘 의원들이 입당 사전 정지 작업에 속도전을 벌이면서다. 특히 이들은 윤 전 총장과 교감한 것으로 보이는 정진석·권성동 등 친윤계 의원들이 윤 전 총장의 입당을 촉구하는 40명의 성명서를 발표한 일을 ‘입당 밥상 차리기’에 비유하기도 했다. 친윤계 의원들이 ‘입당 밥상 차리기’에 나섰고, 그 밥상을 주문한 건 윤 전 총장이란 의미다. 정 의원이 국민의힘 의원들의 단체 채팅방에서 윤 전 총장이 꺼낸 ‘드루킹 댓글조작 규명’ 특검 재개를 위한 릴레이 단식 농성을 제안한 점도 윤 전 총장을 지지하기 위한 움직임으로 해석된다. 정 의원은 29일부터 청와대 앞에서 ‘드루킹 댓글조작 사건’에 대한 문재인 대통령의 사과를 촉구하는 1인 시위에 돌입한다. 국민의힘은 특히 당내 주자들을 띄울 공간 마련에도 나섰다. 29일 서울 여의도 당사에서 대선 경선 후보자 간담회를 열기로 한 것이다. 최근 입당한 최 전 원장을 비롯해 홍준표 의원, 유승민 전 의원, 원희룡 제주지사 등 당내 대선 주자 11명이 처음으로 모이는 자리다. 이준석 대표와 서 위원장도 참석한다. 이는 당내 주자들을 배려하는 자리인 동시에 당 밖 주자들의 입당을 압박하는 차원으로 해석할 수 있다. 그동안 당 안팎에서는 윤 전 총장에게만 쏠려 있는 시선을 당내 주자들에게도 돌릴 수 있는 방법을 모색해야 한다는 지적이 제기됐다. 당내 주자들이 처음 모이는 자리에선 경선 규칙과 진행 방식 등이 공유될 것으로 보인다.",https://www.khan.co.kr/politics/assembly/article/202107282101025,정치,경향
 이재명·이낙연 “야권서 윤석열 나오면 내가 유리”,"더불어민주당 대선 주자들은 대선 본선에서 만날 야권 대선 후보를 누구라고 예상할까. 민주당 대선 경선에 나선 6명의 후보는 28일 본경선 첫 TV토론회에서 이 같은 질문을 받았다. 이재명·이낙연 후보는 윤석열 전 검찰총장을 꼽으며 자신들이 국정운영 경험에서 우위에 있다고 강조했다. 이재명 후보는 “국민의힘은 촛불혁명을 유발시킨 부패·적폐세력”이라며 “이분들이 기회를 갖게 된 건 정권심판론에 편승한 것이기에 윤 전 총장이 편승하기에 제일 좋은 위치에 있다”고 말했다. 그러면서 “윤 전 총장은 전혀 검증된 바 없고 국정 경험도 거의 없다”며 “저는 (성남)시장 8년과 (경기)도지사 3년을 넘어가면서 종합행정을 했다”고 말했다. 이낙연 후보도 “윤석열씨는 평생 검사 한 분”이라며 “검사나 판사는 과거의 유무죄를 판단하는데 국정은 미래를 준비하고 갈등을 조정하는 게 본질이다. 그런 일이면 제가 더 잘할 것 같다”고 말했다. 추미애·김두관 후보는 홍준표 의원을 지목했다. 추 후보는 “(제가) 불평등·양극화의 근본 원인을 얘기하며 지대개혁을 말했는데, 홍 후보는 그런 소리를 전혀 하실 줄 모른다. 이길 자신이 있다”고 말했다. 김 후보는 “홍 의원은 경남지사를 하고 지역구가 대구”라며 “저는 경남지사에 당선되고 지난해 양산을에서 (국회의원으로) 당선됐다. 홍준표를 확실히 잡을 수 있는 후보가 김두관”이라고 강조했다. 정세균·박용진 후보는 유승민 전 의원을 꼽았다. 정 후보는 “제가 명색이 경제전문가라고 자처하는데, 야권에서 경제를 알고 국정을 파악하고 있는 사람은 유 전 의원 정도”라며 “유 전 의원과 다투면 제가 승리할 수 있다고 확신한다”고 말했다. 박 후보는 “그분(유 전 의원)이 연금개혁을 얘기하더라. 정치인은 손해볼 얘기도 해야 하는데 그런 면에서 비슷하게 생각하고 있다”며 “제가 유 전 의원 옆에 서기만 해도 키도 크고 말도 잘하고 얼굴도 잘생겼다. 반드시 이길 거다”라고 말했다.",https://www.khan.co.kr/politics/assembly/article/202107282101015,정치,경향
